;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9006402;1024915;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9006405;1024915;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M91000185;1024915;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M91000271;1024915;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) Projector, Epson Powerlite (D6155W);;PFMF380055L;D6155W;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) Projector, Mitsubishi (XD205R);;6821231;XD205R;;;;;;;;;;Puuloa;6708C3 Bay 6 SPARE
;ISMT-III;(USMC) PSC/ICS Combo, New XP System, Black (1021044-28);;A086452;1021044-28;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) Rack Assembly for PSC/ICS Combo (8000240-15) (PLASTIC);;05061;8000240-15;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI468715;1024515-07;;;;;;;;;;Puuloa;Puuloa w/ RCO 932189 (old Ckt Board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI504062;1024515-07;;;;;;;;;;Puuloa;Puuloa RCO 932108 (old Ckt Board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI504072;1024515-07;;;;;;;;;;Puuloa;Puuloa (old Ckt Board)
;ISMT-III;(USMC) SRS/M16A4 Rifle BlueFire [1024515-07];;*BFI504215;1024515-07;;;;;;;;;;Puuloa;Puuloa RCO 932290 w/vickers sling (old Ckt Board)
;ISMT-III;(USMC) Trunk Line 2-position (1006210-01);;A020350;1006210-01;;;;;;;;;;Puuloa;Puuloa
;ISMT-III;(USMC) UPS (Uninterruptible Power Supply) APC ;;2236BY0BC819400398;;;;;;;;;;;Puuloa;PUULOA
;ISMT-III;(USMC) Weapon Rack, White 45 (UWRC4245);;ISMTWHT45WPN001;UWRC4245;;;;;;;;;;Puuloa;Puuloa
